
                                             CodeAnalysis
    ==============================================================================================
     Fri Aug 26 13:39:28 2016
     Path: C:\SU\Repository\CodeAnalyzer\Parser
     Args: *.h, *.cpp, *.cs, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
         ActionsAndRules.h    function                             doTest     743      21       4
         ActionsAndRules.h       class            HandleControlDefinition     770      22       3
         ActionsAndRules.h    function            HandleControlDefinition     775       3       1
         ActionsAndRules.h    function                           doAction     779      12       1
         ActionsAndRules.h       class                      PrintFunction     798      16       3
         ActionsAndRules.h    function                      PrintFunction     804       3       1
         ActionsAndRules.h    function                           doAction     808       5       1
         ActionsAndRules.h       class                PrettyPrintFunction     819      19       3
         ActionsAndRules.h    function                PrettyPrintFunction     823       2       1
         ActionsAndRules.h    function                           doAction     827      10       1
         ActionsAndRules.h       class                     CppDeclaration     849      52       8
         ActionsAndRules.h    function                             doTest     852      48       7
         ActionsAndRules.h       class               HandleCppDeclaration     906      91      11
         ActionsAndRules.h    function               HandleCppDeclaration     909       2       1
         ActionsAndRules.h    function                           doAction     913      83       9
         ActionsAndRules.h       class                  CSharpDeclaration    1008     113      13
         ActionsAndRules.h    function                             doTest    1011     109      12
         ActionsAndRules.h       class            HandleCSharpDeclaration    1126      76       9
         ActionsAndRules.h    function            HandleCSharpDeclaration    1129       2       1
         ActionsAndRules.h    function                           doAction    1133      68       7
         ActionsAndRules.h       class                      CppExecutable    1207      46       6
         ActionsAndRules.h    function                             doTest    1210      42       5
         ActionsAndRules.h       class                HandleCppExecutable    1258      19       4
         ActionsAndRules.h    function                HandleCppExecutable    1261       2       1
         ActionsAndRules.h    function                           doAction    1265      11       2
         ActionsAndRules.h       class                   CSharpExecutable    1281      46       6
         ActionsAndRules.h    function                             doTest    1284      42       5
         ActionsAndRules.h       class             HandleCSharpExecutable    1331      19       4
         ActionsAndRules.h    function             HandleCSharpExecutable    1334       2       1
         ActionsAndRules.h    function                           doAction    1338      11       2
         ActionsAndRules.h       class                            Default    1355      10       2
         ActionsAndRules.h    function                             doTest    1358       6       1
         ActionsAndRules.h       class                      HandleDefault    1369      11       3
         ActionsAndRules.h    function                      HandleDefault    1372       2       1
         ActionsAndRules.h    function                           doAction    1376       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
       ActionsAndRules.cpp      lambda                                [])      25      35       4

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         ConfigureParser.h   namespace                       CodeAnalysis      58      69       8
         ConfigureParser.h       class             ConfigParseForCodeAnal      63      63       7
         ConfigureParser.h    function             ConfigParseForCodeAnal      64       1       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
       ConfigureParser.cpp    function            ~ConfigParseForCodeAnal      25      34       1
       ConfigureParser.cpp    function                             Attach      62       7       1
       ConfigureParser.cpp    function                              Build      73      93       3
       ConfigureParser.cpp      lambda                                [])     173      48       8

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Parser.h   namespace                       CodeAnalysis      73      59      17
                  Parser.h       class                           IBuilder      81       5       2
                  Parser.h    function                          ~IBuilder      82       2       1
                  Parser.h       class                            IAction      92       5       2
                  Parser.h    function                           ~IAction      93       2       1
                  Parser.h       class                              IRule     103      11       4
                  Parser.h    function                             ~IRule     106       2       1
                  Parser.h       class                             Parser     116      11       8
                  Parser.h    function                             Parser     127       2       1
                  Parser.h    function                            ~Parser     129       2       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                Parser.cpp    function                          addAction      63       3       1
                Parser.cpp    function                          doActions      69       5       1
                Parser.cpp    function                            addRule      27       3       1
                Parser.cpp    function                               next      32      15       2
                Parser.cpp    function                              parse      51       9       2
                Parser.cpp      lambda                                [])      86      55       8

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         ActionsAndRules.h    function                           doAction     525      80       6
         ActionsAndRules.h    function                           doAction     653      81       5
         ActionsAndRules.h    function                           doAction     913      83       9
         ActionsAndRules.h    function                             doTest    1011     109      12
         ActionsAndRules.h    function                           doAction    1133      68       7
       ConfigureParser.cpp    function                              Build      73      93       3



    searched     6 dirs
   processed     6 files
